startterminal hour startcount endcount
31007 2 57 15
31008 2 2 26
31009 2 1 12
31010 2 4 29
31011 2 6 22
31013 2 11 28
31014 2 28 81
31015 2 10 35
31016 2 7 18
31017 2 30 14
31018 2 7 16
31019 2 9 5
31020 2 38 8
31021 2 22 6
31022 2 28 17
31023 2 69 9
31024 2 23 17
31025 2 6 11
31026 2 9 5
31027 2 2 13
31028 2 4 5
31030 2 4 27
31031 2 7 27
31033 2 14 18
31034 2 7 30
31036 2 2 6
31037 2 12 36
31038 2 2 16
31039 2 7 10
31040 2 2 4
31042 2 4 1
31044 2 1 1
31046 2 1 2
31048 2 2 1
31049 2 1 28
31050 2 1 3
31051 2 1 4
31100 2 26 15
31101 2 573 300
31102 2 295 173
31103 2 216 213
31104 2 459 261
31105 2 103 159
31106 2 91 187
31107 2 81 276
31108 2 16 102
31109 2 197 151
31110 2 131 99
31111 2 488 212
31112 2 3 27
31113 2 130 115
31115 2 30 110
31116 2 224 190
31200 2 395 276
31201 2 135 146
31202 2 281 132
31203 2 209 298
31204 2 52 134
31205 2 105 146
31206 2 7 12
31207 2 8 40
31208 2 8 51
31209 2 8 5
31211 2 3 3
31212 2 89 132
31213 2 43 42
31214 2 256 234
31215 2 27 28
31216 2 37 35
31217 2 17 6
31218 2 21 19
31219 2 30 10
31220 2 20 35
31221 2 147 27
31222 2 78 42
31223 2 139 196
31224 2 111 16
31225 2 107 38
31226 2 14 35
31227 2 38 35
31228 2 128 66
31229 2 205 225
31230 2 54 33
31231 2 7 3
31232 2 77 53
31233 2 78 34
31234 2 63 98
31235 2 40 42
31236 2 41 27
31237 2 97 142
31238 2 55 7
31239 2 90 57
31240 2 4 11
31241 2 157 231
31242 2 23 13
31243 2 10 22
31244 2 17 63
31245 2 77 120
31246 2 76 78
31247 2 44 62
31248 2 18 24
31249 2 44 27
31250 2 14 8
31251 2 24 52
31252 2 16 7
31253 2 26 10
31254 2 16 10
31255 2 5 34
31256 2 33 15
31257 2 55 48
31258 2 19 19
31300 2 27 47
31301 2 11 25
31302 2 13 39
31303 2 38 21
31304 2 15 12
31305 2 34 44
31306 2 10 21
31307 2 29 40
31400 2 67 165
31401 2 45 134
31402 2 6 33
31404 2 12 53
31500 2 12 43
31501 2 12 7
31503 2 50 206
31504 2 10 6
31505 2 6 77
31506 2 49 140
31507 2 3 1
31508 2 4 15
31600 2 82 164
31601 2 4 33
31602 2 175 171
31603 2 53 111
31604 2 70 144
31605 2 64 83
31606 2 25 97
31607 2 18 50
31608 2 28 16
31609 2 4 25
31610 2 63 70
31611 2 236 87
31612 2 14 87
31613 2 140 63
31614 2 168 113
31615 2 57 93
31616 2 54 97
31617 2 14 52
31618 2 39 59
31619 2 51 80
31620 2 46 52
31621 2 13 9
31622 2 23 82
31623 2 128 150
31624 2 90 54
31625 2 13 34
31626 2 4 59
31628 2 22 98
31700 2 2 2
31703 2 3 1
31706 2 1 1
31001 3 5 2
31003 3 3 7
31004 3 1 7
31006 3 1 3
31007 3 18 5
31008 3 3 6
31009 3 2 4
31011 3 1 12
31013 3 6 6
31014 3 13 44
31015 3 7 67
31016 3 9 9
31017 3 15 23
31019 3 6 3
31020 3 15 5
31021 3 2 3
31022 3 8 4
31023 3 15 4
31024 3 10 8
31025 3 1 4
31026 3 1 1
31028 3 3 1
31031 3 3 11
31033 3 8 10
31034 3 8 2
31035 3 2 12
31037 3 6 14
31038 3 6 1
31039 3 37 7
31043 3 1 1
31048 3 1 2
31049 3 4 8
31100 3 12 4
31101 3 321 141
31102 3 92 100
31103 3 123 116
31104 3 185 94
31105 3 76 73
31106 3 42 80
31107 3 52 150
31108 3 10 40
31109 3 67 73
31110 3 69 64
31111 3 143 74
31112 3 1 17
31113 3 76 54
31115 3 11 59
31116 3 95 90
31200 3 170 120
31201 3 67 69
31202 3 96 70
31203 3 100 125
31204 3 29 54
31205 3 40 58
31206 3 7 13
31207 3 5 31
31208 3 1 26
31209 3 2 7
31212 3 43 72
31213 3 38 16
31214 3 111 95
31215 3 11 7
31216 3 23 13
31217 3 2 13
31218 3 6 11
31219 3 3 2
31220 3 9 26
31221 3 76 29
31222 3 18 28
31223 3 66 107
31224 3 116 6
31225 3 27 45
31226 3 10 25
