startterminal hour startcount endcount
31616 8 1224 735
31617 8 788 102
31618 8 1540 732
31619 8 2663 296
31620 8 485 2081
31621 8 337 1504
31622 8 3371 156
31623 8 4458 5877
31624 8 2300 4135
31625 8 803 424
31626 8 1553 68
31628 8 1164 600
31700 8 10 5
31701 8 6 1
31702 8 5 1
31705 8 2 5
31706 8 24 2
31707 8 14 7
31708 8 66 18
31801 8 169 21
31802 8 44 146
31803 8 53 7
31804 8 41 28
31805 8 46 14
31806 8 16 1
31000 9 90 31
31001 9 150 205
31002 9 185 301
31003 9 137 125
31004 9 141 24
31005 9 129 24
31006 9 310 161
31007 9 876 656
31008 9 163 49
31009 9 233 585
31010 9 265 89
31011 9 179 270
31012 9 51 278
31013 9 194 64
31014 9 579 1040
31015 9 332 666
31016 9 157 120
31017 9 240 396
31018 9 220 83
31019 9 49 132
31020 9 215 147
31021 9 126 53
31022 9 222 215
31023 9 200 171
31024 9 154 224
31025 9 112 53
31026 9 55 27
31027 9 85 87
31028 9 108 98
31029 9 307 52
31030 9 284 75
31031 9 171 49
31032 9 39 25
31033 9 117 21
31034 9 220 74
31035 9 132 54
31036 9 190 41
31037 9 196 298
31038 9 50 122
31039 9 122 67
31040 9 36 88
31041 9 7 63
31042 9 17 142
31043 9 16 51
31044 9 23 122
31045 9 19 27
31046 9 27 11
31047 9 125 34
31048 9 176 52
31049 9 64 22
31050 9 104 8
31051 9 68 8
31052 9 3 2
31100 9 319 1134
31101 9 1201 676
31102 9 998 180
31103 9 1577 365
31104 9 1507 827
31105 9 849 283
31106 9 1814 797
31107 9 932 227
31108 9 1139 655
31109 9 626 220
31110 9 1966 1711
31111 9 842 434
31112 9 393 110
31113 9 906 223
31115 9 697 63
31116 9 744 311
31200 9 3416 3742
31201 9 1663 1803
31202 9 863 612
31203 9 1171 685
31204 9 908 926
31205 9 979 3080
31206 9 170 635
31207 9 402 66
31208 9 220 570
31209 9 61 216
31210 9 25 55
31211 9 150 275
31212 9 1298 1741
31213 9 1000 1487
31214 9 1587 1339
31215 9 253 1630
31216 9 515 1539
31217 9 321 1508
31218 9 565 971
31219 9 254 1950
31220 9 432 1167
31221 9 476 1329
31222 9 552 1367
31223 9 1235 654
31224 9 474 1058
31225 9 433 2094
31226 9 661 294
31227 9 545 2005
31228 9 818 1865
31229 9 1324 530
31230 9 754 2605
31231 9 339 1488
31232 9 755 1515
31233 9 664 1328
31234 9 1017 1552
31235 9 454 1268
31236 9 346 1300
31237 9 1545 1447
31238 9 382 1907
31239 9 1873 2968
31240 9 372 358
31241 9 2977 2461
31242 9 412 954
31243 9 349 1227
31244 9 690 1163
31245 9 886 295
31246 9 846 1471
31247 9 613 928
31248 9 444 543
31249 9 307 298
31250 9 136 568
31251 9 757 502
31252 9 147 459
31253 9 135 831
31254 9 233 528
31255 9 242 479
31256 9 182 494
31257 9 543 690
31258 9 138 204
31300 9 548 212
31301 9 142 220
31302 9 675 121
31303 9 502 204
31304 9 440 169
31305 9 628 412
31306 9 419 18
31307 9 540 149
31400 9 732 234
31401 9 443 62
31402 9 267 29
31404 9 529 83
31500 9 260 75
31501 9 125 16
31502 9 81 83
31503 9 806 293
31504 9 256 61
31505 9 609 273
31506 9 720 228
31507 9 55 85
31508 9 154 128
31600 9 1279 676
31601 9 246 158
31602 9 857 415
31603 9 1289 1330
31604 9 1334 1121
31605 9 611 1022
31606 9 718 314
31607 9 585 227
31608 9 243 322
31609 9 443 274
31610 9 1166 926
31611 9 1015 453
31612 9 867 322
31613 9 1287 1696
31614 9 645 151
31615 9 881 299
31616 9 657 533
31617 9 371 103
31618 9 996 908
31619 9 1588 313
31620 9 408 1607
31621 9 378 958
31622 9 1066 195
31623 9 2285 3388
31624 9 1327 3284
31625 9 410 386
31626 9 680 95
31628 9 690 407
31700 9 12 7
31702 9 2 6
31703 9 7 14
31705 9 10 13
31706 9 7 1
31707 9 31 15
31708 9 55 20
31801 9 140 39
31802 9 23 163
31803 9 21 11
31804 9 33 43
31805 9 31 12
31806 9 29 6
31000 10 79 21
31001 10 115 130
31002 10 179 189
31003 10 156 131
31004 10 83 41
31005 10 78 61
31006 10 158 124
31007 10 345 322
31008 10 149 73
31009 10 183 201
31010 10 217 149
31011 10 131 170
31012 10 69 104
31013 10 103 59
31014 10 446 539
31015 10 263 351
31016 10 141 86
31017 10 278 291
31018 10 144 65
31019 10 73 87
31020 10 112 80
31021 10 85 89
31022 10 120 132
31023 10 152 150
31024 10 196 149
31025 10 119 92
31026 10 47 38
31027 10 102 28
31028 10 72 41
31029 10 179 18
31030 10 170 46
31031 10 135 27
31032 10 43 20
31033 10 97 34
31034 10 146 59
31035 10 87 48
31036 10 61 32
31037 10 131 153
31038 10 36 37
31039 10 112 68
31040 10 45 25
31041 10 27 62
31042 10 48 76
31043 10 30 32
31044 10 27 45
31045 10 10 16
31046 10 26 16
31047 10 74 26
31048 10 82 23
31049 10 60 43
31050 10 35 11
31051 10 23 10
31052 10 7 3
31100 10 337 624
31101 10 1156 984
31102 10 671 230
31103 10 1305 456
31104 10 1362 845
31105 10 866 366
31106 10 1049 769
31107 10 927 266
31108 10 906 531
31109 10 472 245
31110 10 1182 966
31111 10 640 495
31112 10 268 162
31113 10 763 236
31115 10 412 61
31116 10 774 433
31200 10 2604 3113
31201 10 1582 1633
31202 10 694 606
31203 10 933 636
31204 10 510 542
31205 10 899 1268
31206 10 178 338
31207 10 219 77
31208 10 292 414
31209 10 118 226
31210 10 21 30
31211 10 123 165
31212 10 1049 933
31213 10 801 1062
31214 10 1341 1222
31215 10 331 756
31216 10 514 707
31217 10 430 735
31218 10 328 421
31219 10 320 1209
31220 10 424 550
31221 10 478 669
31222 10 793 901
31223 10 807 581
31224 10 365 599
31225 10 616 1309
31226 10 401 238
31227 10 503 681
31228 10 637 974
31229 10 1293 824
31230 10 798 1298
31231 10 450 726
31232 10 777 1110
31233 10 480 695
31234 10 750 677
31235 10 639 902
31236 10 394 867
31237 10 932 874
31238 10 487 747
31239 10 1029 1335
31240 10 570 758
31241 10 1708 1454
31242 10 443 692
31243 10 347 1230
31244 10 428 487
31245 10 674 307
31246 10 677 925
31247 10 1125 1363
31248 10 638 770
31249 10 408 429
31250 10 125 133
31251 10 430 218
31252 10 181 193
31253 10 93 230
31254 10 253 319
31255 10 251 181
31256 10 175 279
31257 10 345 439
31258 10 249 293
31300 10 507 154
31301 10 162 149
31302 10 389 186
31303 10 417 192
31304 10 290 106
31305 10 434 352
31306 10 307 54
31307 10 375 212
31400 10 560 189
31401 10 382 90
31402 10 160 48
31404 10 250 100
31500 10 188 101
31501 10 79 30
31502 10 45 79
31503 10 785 277
31504 10 140 63
31505 10 330 145
31506 10 632 220
31507 10 41 53
31508 10 87 117
31600 10 804 688
31601 10 215 139
31602 10 905 512
31603 10 816 725
31604 10 867 635
31605 10 653 773
31606 10 482 429
31607 10 445 283
31608 10 170 257
31609 10 375 252
31610 10 725 900
31611 10 509 336
31612 10 675 306
31613 10 1182 1631
31614 10 380 193
31615 10 449 254
31616 10 509 439
31617 10 226 117
31618 10 758 847
31619 10 1286 532
31620 10 337 895
31621 10 388 525
31622 10 762 313
31623 10 1245 1565
31624 10 813 1079
31625 10 367 325
31626 10 453 128
31628 10 535 348
31700 10 17 4
31701 10 6 4
31702 10 2 2
31703 10 8 15
31705 10 14 17
31706 10 14 4
31707 10 18 15
31708 10 40 17
31801 10 32 23
31802 10 22 34
31803 10 6 7
31804 10 20 13
31805 10 9 16
31806 10 11 3
31000 11 86 40
31001 11 124 178
31002 11 203 222
31003 11 172 115
31004 11 71 46
31005 11 90 89
31006 11 165 134
31007 11 308 262
31008 11 201 110
31009 11 262 126
31010 11 226 215
31011 11 173 189
31012 11 125 77
31013 11 100 113
31014 11 506 470
31015 11 273 351
31016 11 204 151
31017 11 389 284
31018 11 130 56
31019 11 110 126
31020 11 193 117
31021 11 115 177
31022 11 176 223
31023 11 101 115
31024 11 331 207
31025 11 120 98
31026 11 64 67
31027 11 97 40
31028 11 95 35
31029 11 73 39
31030 11 140 60
31031 11 151 45
31032 11 48 22
31033 11 96 70
31034 11 119 86
31035 11 146 80
31036 11 55 37
31037 11 248 154
31038 11 97 35
31039 11 123 75
31040 11 45 32
31041 11 43 60
31042 11 63 86
31043 11 42 39
31044 11 32 53
31045 11 23 23
31046 11 16 17
31047 11 33 20
31048 11 106 45
31049 11 38 39
31050 11 32 8
31051 11 21 9
31052 11 9 11
31100 11 583 612
31101 11 1413 1133
31102 11 751 309
31103 11 1409 521
31104 11 1494 1034
31105 11 1081 531
31106 11 1044 822
31107 11 1027 386
31108 11 830 801
31109 11 582 363
31110 11 1175 1032
31111 11 752 676
31112 11 238 181
31113 11 825 256
31115 11 433 103
31116 11 822 543
31200 11 2903 3361
31201 11 2035 2037
31202 11 787 757
31203 11 1021 794
31204 11 684 552
31205 11 1105 1204
31206 11 459 316
31207 11 242 104
31208 11 558 357
31209 11 116 242
31210 11 20 21
31211 11 178 201
31212 11 1168 988
31213 11 822 1033
31214 11 1564 1505
31215 11 598 905
31216 11 718 695
31217 11 812 695
31218 11 548 525
31219 11 625 1349
31220 11 689 541
31221 11 713 764
31222 11 990 1183
31223 11 834 653
31224 11 545 677
31225 11 899 1520
31226 11 333 259
31227 11 737 693
31228 11 848 1361
31229 11 1574 1083
31230 11 965 1369
31231 11 829 843
31232 11 976 1501
31233 11 573 685
31234 11 718 766
31235 11 1066 1210
31236 11 586 735
31237 11 968 1004
31238 11 678 916
31239 11 1164 1120
31240 11 1090 1090
31241 11 1587 1071
31242 11 743 815
31243 11 772 1544
31244 11 664 453
31245 11 709 445
31246 11 757 1081
31247 11 1710 1755
31248 11 1042 1169
31249 11 633 689
31250 11 204 161
31251 11 342 216
31252 11 196 203
31253 11 172 201
31254 11 284 249
31255 11 231 226
31256 11 262 341
31257 11 351 395
31258 11 435 362
31300 11 462 177
31301 11 214 173
31302 11 368 189
31303 11 428 236
31304 11 324 88
31305 11 446 332
31306 11 374 50
31307 11 422 242
31400 11 587 270
31401 11 394 161
31402 11 168 56
31404 11 248 127
31500 11 173 104
31501 11 78 33
31502 11 61 81
31503 11 820 396
31504 11 129 78
31505 11 280 122
31506 11 725 321
31507 11 52 65
31508 11 87 87
31600 11 978 863
31601 11 275 176
31602 11 1075 689
31603 11 975 796
31604 11 823 582
31605 11 893 947
31606 11 703 522
31607 11 492 353
31608 11 262 315
31609 11 313 296
31610 11 975 1234
31611 11 521 467
31612 11 766 409
31613 11 1361 1756
31614 11 421 366
31615 11 571 489
31616 11 564 468
31617 11 289 179
31618 11 1034 945
31619 11 1260 633
31620 11 542 847
31621 11 520 533
31622 11 807 338
31623 11 1498 1639
31624 11 995 1002
31625 11 419 500
31626 11 435 243
31628 11 549 416
31700 11 21 9
31701 11 6 4
31702 11 6 3
31703 11 7 14
31705 11 6 16
31706 11 12 5
31707 11 28 14
31708 11 45 23
31801 11 37 23
31802 11 33 35
31803 11 19 6
31804 11 12 19
31805 11 21 31
31806 11 13 11
31000 12 106 55
31001 12 213 221
31002 12 311 282
31003 12 231 197
31004 12 112 106
31005 12 110 105
31006 12 185 188
31007 12 343 309
31008 12 186 131
31009 12 382 255
31010 12 292 302
31011 12 217 234
31012 12 100 94
31013 12 132 124
31014 12 634 687
31015 12 365 438
31016 12 187 153
31017 12 592 318
31018 12 142 78
31019 12 167 220
31020 12 198 138
31021 12 242 149
31022 12 307 260
31023 12 144 165
31024 12 306 260
31025 12 134 152
31026 12 94 56
31027 12 108 66
31028 12 96 46
31029 12 83 35
31030 12 148 83
31031 12 124 69
31032 12 31 25
31033 12 88 42
31034 12 121 94
31035 12 124 82
31036 12 61 56
31037 12 247 198
31038 12 94 77
31039 12 113 100
31040 12 71 43
31041 12 52 83
31042 12 83 70
31043 12 54 54
31044 12 29 41
31045 12 16 27
31046 12 9 3
31047 12 41 22
31048 12 69 50
31049 12 46 54
31050 12 43 36
31051 12 25 28
31052 12 8 12
31100 12 848 896
31101 12 1679 1634
31102 12 792 385
31103 12 1366 489
31104 12 1600 1107
31105 12 1174 535
31106 12 1125 938
31107 12 986 508
31108 12 1086 1190
31109 12 652 495
31110 12 1334 1207
31111 12 988 884
31112 12 262 233
31113 12 849 333
31115 12 437 184
31116 12 964 690
31200 12 3314 3758
31201 12 2417 2614
31202 12 982 945
31203 12 1225 1241
31204 12 878 688
31205 12 1482 1798
31206 12 541 395
31207 12 224 141
31208 12 698 678
31209 12 173 493
31210 12 16 32
31211 12 223 268
31212 12 1491 1285
31213 12 931 1219
31214 12 1852 1803
31215 12 804 1292
31216 12 1062 882
31217 12 1066 1063
31218 12 698 811
31219 12 1004 1729
31220 12 1041 767
31221 12 928 1148
31222 12 1323 1498
31223 12 998 876
31224 12 791 885
31225 12 1139 1820
31226 12 441 302
31227 12 1152 934
31228 12 1181 2010
31229 12 1838 1464
31230 12 1409 1891
31231 12 1122 1192
31232 12 1441 2053
31233 12 864 1061
31234 12 837 900
31235 12 1593 1548
31236 12 825 1006
31237 12 1299 1317
31238 12 955 1188
31239 12 1507 1319
31240 12 1436 1384
31241 12 1645 1368
31242 12 1119 1225
31243 12 1272 1886
31244 12 874 563
31245 12 719 589
31246 12 1021 1380
31247 12 1894 2136
31248 12 1145 1426
31249 12 905 868
31250 12 240 301
31251 12 386 359
31252 12 319 349
31253 12 255 318
31254 12 462 417
31255 12 302 265
31256 12 357 482
31257 12 555 593
31258 12 640 566
31300 12 385 178
31301 12 262 165
31302 12 471 203
31303 12 422 252
31304 12 319 140
31305 12 470 345
31306 12 332 66
31307 12 475 288
31400 12 585 299
31401 12 402 204
31402 12 138 77
31404 12 267 147
31500 12 224 129
31501 12 74 36
31502 12 84 65
31503 12 855 576
31504 12 126 86
31505 12 307 166
31506 12 666 426
31507 12 67 56
31508 12 187 126
31600 12 1262 1380
31601 12 273 194
31602 12 1021 759
31603 12 1277 1044
31604 12 942 945
31605 12 1030 1016
31606 12 706 588
31607 12 563 390
31608 12 370 413
31609 12 359 381
31610 12 1405 1312
31611 12 562 628
31612 12 721 516
31613 12 1811 1974
31614 12 596 480
31615 12 529 504
31616 12 703 542
31617 12 250 188
31618 12 1085 966
31619 12 1275 780
31620 12 927 1325
31621 12 669 661
31622 12 737 470
31623 12 1909 2131
31624 12 1368 1450
31625 12 458 582
31626 12 512 301
31628 12 567 639
31700 12 23 2
31701 12 25 7
31702 12 7 4
31703 12 13 22
31705 12 18 18
31706 12 16 9
31707 12 28 27
31708 12 62 39
31801 12 33 38
31802 12 31 37
31803 12 16 7
31804 12 16 16
31805 12 37 26
31806 12 15 9
31901 12 2 4
31000 13 64 54
31001 13 209 249
31002 13 262 339
31003 13 167 167
31004 13 117 81
31005 13 117 92
31006 13 149 174
31007 13 327 301
31008 13 225 168
31009 13 208 314
31010 13 307 247
31011 13 198 212
31012 13 71 75
31013 13 128 101
31014 13 585 677
31015 13 325 404
31016 13 161 155
31017 13 414 337
31018 13 133 73
31019 13 202 163
31020 13 183 135
31021 13 215 144
31022 13 300 219
31023 13 143 157
31024 13 215 232
31025 13 170 158
31026 13 92 69
31027 13 93 91
31028 13 85 52
31029 13 68 43
31030 13 138 78
31031 13 132 94
31032 13 32 33
31033 13 108 64
31034 13 94 71
31035 13 104 61
31036 13 70 62
31037 13 222 224
31038 13 79 64
31039 13 117 111
31040 13 43 52
31041 13 41 82
31042 13 69 83
31043 13 51 66
31044 13 60 41
31045 13 23 30
31046 13 19 17
31047 13 35 33
31048 13 53 35
31049 13 45 33
31050 13 29 19
31051 13 21 33
31052 13 22 9
31100 13 877 805
31101 13 1824 1526
31102 13 766 430
31103 13 1245 505
31104 13 1514 1179
31105 13 1039 663
31106 13 1094 876
31107 13 927 530
31108 13 983 1014
31109 13 604 541
31110 13 1275 1259
31111 13 899 912
31112 13 248 250
31113 13 799 430
31115 13 427 203
31116 13 1025 837
31200 13 3219 3465
31201 13 2559 2670
31202 13 1193 1099
31203 13 1336 1212
31204 13 675 762
31205 13 1556 1678
31206 13 398 541
31207 13 240 168
31208 13 537 805
31209 13 182 339
31210 13 37 26
31211 13 204 222
31212 13 1361 1382
31213 13 1139 1282
31214 13 2037 1935
31215 13 835 1364
31216 13 928 1134
31217 13 997 1344
31218 13 569 817
31219 13 1303 1878
31220 13 835 1027
31221 13 1048 1090
31222 13 1471 1600
31223 13 946 967
31224 13 872 882
31225 13 1364 1783
31226 13 472 349
31227 13 1003 979
31228 13 1509 1805
31229 13 1739 1488
31230 13 1741 1903
31231 13 1088 1337
31232 13 1779 1925
31233 13 960 991
31234 13 827 780
31235 13 1628 1716
31236 13 798 895
31237 13 1286 1399
31238 13 1085 1097
31239 13 1346 1302
31240 13 1506 1444
31241 13 1583 1400
31242 13 1190 1138
31243 13 1550 1896
31244 13 721 735
31245 13 727 526
31246 13 1130 1476
31247 13 2424 2565
31248 13 1441 1714
31249 13 996 907
31250 13 244 260
31251 13 389 410
31252 13 272 334
31253 13 268 261
31254 13 406 362
31255 13 288 344
31256 13 386 529
31257 13 490 516
31258 13 807 625
31300 13 370 218
31301 13 304 195
31302 13 526 241
31303 13 498 256
31304 13 262 130
31305 13 495 398
31306 13 275 107
31307 13 460 342
31400 13 509 333
31401 13 341 219
31402 13 123 84
31404 13 197 132
31500 13 222 147
31501 13 64 35
31502 13 59 78
31503 13 775 550
31504 13 120 91
31505 13 265 177
31506 13 605 489
31507 13 70 47
31508 13 114 147
31600 13 1427 1355
31601 13 195 226
31602 13 1211 875
31603 13 1077 1180
31604 13 806 1021
31605 13 1107 1044
31606 13 639 642
31607 13 494 501
31608 13 346 318
31609 13 364 446
31610 13 1377 1321
31611 13 567 619
31612 13 656 586
31613 13 1991 1911
31614 13 535 544
31615 13 755 477
31616 13 634 656
31617 13 306 236
31618 13 1097 1144
31619 13 1192 975
31620 13 993 1268
31621 13 700 780
31622 13 704 640
31623 13 1777 2058
31624 13 1136 1539
31625 13 579 403
31626 13 402 323
31628 13 555 633
31700 13 20 8
31701 13 11 11
31702 13 4 8
31703 13 4 19
31705 13 27 26
31706 13 9 7
31707 13 32 80
31708 13 52 48
31801 13 41 33
31802 13 35 47
31803 13 13 7
31804 13 11 14
31805 13 23 26
31806 13 16 22
31000 14 65 43
31001 14 208 244
31002 14 261 291
31003 14 153 185
31004 14 94 76
31005 14 97 100
31006 14 195 189
31007 14 297 290
31008 14 162 163
31009 14 168 183
31010 14 248 260
31011 14 184 146
31012 14 159 86
31013 14 77 114
31014 14 554 723
31015 14 398 399
31016 14 273 100
31017 14 360 277
31018 14 109 90
31019 14 173 141
31020 14 184 122
31021 14 165 123
31022 14 195 221
31023 14 105 123
31024 14 196 159
31025 14 120 107
31026 14 72 25
31027 14 86 76
31028 14 104 56
31029 14 72 60
31030 14 120 91
31031 14 77 97
31032 14 21 23
31033 14 104 58
31034 14 80 65
31035 14 89 47
31036 14 44 63
31037 14 186 150
31038 14 57 55
31039 14 105 76
31040 14 52 50
31041 14 77 82
31042 14 65 78
31043 14 79 45
31044 14 33 39
31045 14 15 20
31046 14 12 13
31047 14 31 57
31048 14 64 63
31049 14 20 34
31050 14 22 18
31051 14 26 21
31052 14 11 8
31100 14 732 763
31101 14 1660 1491
31102 14 704 426
31103 14 1084 591
31104 14 1474 1135
31105 14 980 620
31106 14 1043 851
31107 14 740 516
31108 14 891 1065
31109 14 571 549
31110 14 1100 1128
31111 14 806 956
31112 14 296 265
31113 14 721 419
31115 14 401 219
31116 14 814 876
31200 14 3071 3393
31201 14 2399 2515
31202 14 975 947
31203 14 1153 1166
31204 14 845 680
31205 14 1449 1439
31206 14 369 350
31207 14 230 155
31208 14 511 537
31209 14 147 200
31210 14 29 21
31211 14 216 208
31212 14 1271 1358
31213 14 994 1035
31214 14 1842 1893
31215 14 908 1389
31216 14 748 856
31217 14 1019 1330
31218 14 797 725
31219 14 1408 1789
31220 14 906 818
31221 14 948 948
31222 14 1374 1382
31223 14 891 963
31224 14 835 757
31225 14 1477 1733
31226 14 441 424
31227 14 817 855
31228 14 1394 1489
31229 14 1536 1564
31230 14 1545 1837
31231 14 1134 1274
31232 14 1808 1849
31233 14 792 826
31234 14 768 781
31235 14 1863 1694
31236 14 801 909
31237 14 1195 1386
31238 14 976 1074
31239 14 1231 1284
31240 14 1540 1564
31241 14 1361 1411
31242 14 1100 1055
31243 14 1682 2033
31244 14 538 595
31245 14 662 606
31246 14 1157 1480
31247 14 2283 2389
31248 14 1782 1862
31249 14 1015 989
31250 14 292 229
31251 14 344 380
31252 14 270 237
31253 14 255 198
31254 14 348 313
31255 14 247 260
31256 14 450 467
31257 14 544 526
31258 14 642 604
31300 14 412 244
31301 14 347 238
31302 14 462 233
31303 14 514 282
31304 14 300 154
31305 14 489 419
31306 14 274 110
31307 14 467 392
31400 14 492 360
31401 14 250 220
31402 14 121 70
31404 14 194 149
31500 14 185 144
31501 14 70 64
31502 14 63 79
31503 14 796 635
31504 14 230 117
31505 14 297 291
31506 14 602 508
31507 14 134 41
31508 14 176 129
31600 14 1168 1200
31601 14 199 233
31602 14 970 791
31603 14 973 976
31604 14 789 840
31605 14 1000 912
31606 14 568 618
31607 14 529 499
31608 14 372 318
31609 14 363 439
31610 14 1287 1235
31611 14 565 600
31612 14 558 618
31613 14 2107 1865
31614 14 488 574
31615 14 412 472
31616 14 485 559
31617 14 229 224
31618 14 973 991
31619 14 1032 1025
31620 14 905 1033
31621 14 748 668
31622 14 606 574
31623 14 1750 1825
31624 14 1115 1193
31625 14 386 381
31626 14 318 360
31628 14 583 501
31700 14 13 4
31701 14 10 3
31702 14 6 7
31703 14 15 16
31705 14 22 26
31706 14 11 12
31707 14 29 26
31708 14 43 49
31801 14 34 36
31802 14 29 31
31803 14 2 8
31804 14 8 19
31805 14 23 33
31806 14 5 8
31901 14 1 2
31000 15 83 45
31001 15 190 219
31002 15 224 299
31003 15 170 185
31004 15 72 99
31005 15 75 99
31006 15 178 172
31007 15 331 328
31008 15 159 201
31009 15 275 144
31010 15 237 303
31011 15 184 177
31012 15 111 67
31013 15 92 113
31014 15 516 711
31015 15 444 486
31016 15 186 119
31017 15 361 222
31018 15 97 101
31019 15 150 117
31020 15 155 113
31021 15 151 153
31022 15 206 173
31023 15 123 126
31024 15 247 136
31025 15 139 159
31026 15 50 51
31027 15 87 57
31028 15 84 29
31029 15 54 114
31030 15 113 109
31031 15 123 109
31032 15 30 38
31033 15 62 73
31034 15 110 97
31035 15 93 78
31036 15 70 77
31037 15 176 144
31038 15 78 47
31039 15 89 99
31040 15 56 40
31041 15 50 99
31042 15 74 83
31043 15 49 65
31044 15 44 50
31045 15 16 17
31046 15 11 10
31047 15 38 41
31048 15 77 53
31049 15 56 43
31050 15 19 16
31051 15 19 27
31052 15 8 7
31100 15 719 539
31101 15 1500 1635
31102 15 682 437
31103 15 991 671
31104 15 1336 1191
31105 15 856 732
31106 15 968 874
31107 15 669 614
31108 15 992 1076
31109 15 594 596
31110 15 1179 1284
31111 15 901 1124
31112 15 296 295
31113 15 780 492
31115 15 333 240
31116 15 819 859
31200 15 2978 3414
31201 15 2106 2563
31202 15 1000 1112
31203 15 1060 1289
31204 15 833 883
31205 15 1556 1561
31206 15 710 341
31207 15 371 147
31208 15 1041 454
31209 15 357 305
31210 15 30 20
31211 15 244 226
31212 15 1247 1295
31213 15 1040 1074
31214 15 1694 1973
31215 15 1107 1656
31216 15 695 769
31217 15 1462 1403
31218 15 920 956
31219 15 1708 1814
31220 15 1106 623
31221 15 961 879
31222 15 1441 1269
31223 15 978 1010
31224 15 770 670
31225 15 1520 1861
31226 15 490 335
31227 15 788 675
31228 15 1790 1748
31229 15 1453 1831
31230 15 1821 1792
31231 15 1386 1133
31232 15 1883 1833
31233 15 894 876
31234 15 671 788
31235 15 2050 1784
31236 15 1052 831
31237 15 1130 1295
31238 15 983 951
31239 15 1063 969
31240 15 1653 1732
31241 15 1327 1382
31242 15 1186 879
31243 15 2262 1889
31244 15 765 502
31245 15 621 600
31246 15 1269 1361
31247 15 2579 2581
31248 15 1917 1897
31249 15 979 996
31250 15 275 239
31251 15 348 385
31252 15 237 221
31253 15 261 170
31254 15 377 241
31255 15 275 275
31256 15 423 416
31257 15 539 560
31258 15 681 630
31300 15 358 253
31301 15 416 174
31302 15 432 263
31303 15 414 298
31304 15 245 160
31305 15 461 400
31306 15 216 110
31307 15 506 390
31400 15 482 366
31401 15 304 223
31402 15 134 85
31404 15 272 149
31500 15 137 181
31501 15 52 50
31502 15 143 110
31503 15 700 766
31504 15 107 175
31505 15 254 213
31506 15 615 690
31507 15 236 28
31508 15 154 122
31600 15 1037 1228
31601 15 288 328
31602 15 986 854
31603 15 1130 1116
31604 15 779 937
31605 15 958 984
31606 15 624 687
31607 15 458 573
31608 15 536 348
31609 15 373 453
31610 15 1210 1079
31611 15 503 708
31612 15 537 778
31613 15 2387 1790
31614 15 424 658
31615 15 472 539
31616 15 478 713
31617 15 259 273
31618 15 1050 1047
31619 15 1054 1433
31620 15 954 952
31621 15 867 586
31622 15 642 796
31623 15 2037 2511
31624 15 1318 1392
31625 15 399 559
31626 15 402 464
31628 15 599 674
31700 15 14 8
31701 15 11 10
31702 15 22 12
31703 15 15 8
31705 15 22 14
31706 15 20 9
31707 15 18 50
31708 15 36 46
31801 15 44 56
31802 15 24 33
31803 15 10 6
31804 15 14 19
31805 15 19 36
31806 15 21 10
31000 16 83 108
31001 16 247 360
31002 16 328 607
31003 16 176 234
31004 16 118 177
31005 16 89 138
31006 16 163 255
31007 16 782 678
31008 16 263 282
31009 16 536 204
31010 16 245 387
31011 16 332 271
31012 16 368 143
31013 16 87 218
31014 16 922 964
31015 16 732 605
31016 16 165 160
31017 16 655 267
31018 16 105 182
31019 16 184 134
31020 16 234 227
31021 16 160 132
31022 16 273 200
31023 16 138 176
31024 16 279 183
31025 16 178 177
31026 16 59 96
31027 16 75 78
31028 16 92 65
31029 16 88 128
31030 16 119 218
31031 16 88 97
31032 16 109 51
31033 16 74 109
31034 16 104 184
31035 16 67 129
31036 16 90 110
31037 16 328 196
31038 16 113 45
31039 16 105 95
31040 16 87 46
31041 16 63 82
31042 16 60 77
31043 16 58 54
31044 16 39 50
31045 16 33 39
31046 16 18 15
31047 16 57 60
31048 16 85 103
31049 16 36 84
31050 16 34 48
31051 16 23 40
31052 16 5 13
31100 16 937 586
31101 16 1470 2314
31102 16 674 630
31103 16 996 878
31104 16 1508 1739
31105 16 858 858
31106 16 1215 961
31107 16 831 746
31108 16 1120 1374
31109 16 614 716
31110 16 1468 1436
31111 16 938 1172
31112 16 239 294
31113 16 558 607
31115 16 338 274
31116 16 829 1203
31200 16 3511 3886
31201 16 2217 3504
31202 16 1033 1611
31203 16 1202 1837
31204 16 1180 981
31205 16 1784 1639
31206 16 1282 380
31207 16 214 186
31208 16 1812 436
31209 16 611 216
31210 16 28 28
31211 16 283 302
31212 16 1550 1369
31213 16 1377 1020
31214 16 1738 2708
31215 16 1219 1566
31216 16 1158 756
31217 16 2526 1087
31218 16 1809 1480
31219 16 2207 1721
31220 16 1817 636
31221 16 1356 850
31222 16 2263 1631
31223 16 1089 1041
31224 16 963 715
31225 16 1590 1894
31226 16 771 360
31227 16 1217 628
31228 16 2142 1774
31229 16 1529 2506
31230 16 2468 1933
31231 16 1941 1325
31232 16 2151 2064
31233 16 1467 942
31234 16 816 1035
31235 16 2051 1860
31236 16 1652 885
31237 16 1387 1501
31238 16 1139 1080
31239 16 1428 1155
31240 16 1633 1563
31241 16 1756 1761
31242 16 1439 930
31243 16 2887 1625
31244 16 1549 765
31245 16 758 807
31246 16 1380 1466
31247 16 2890 2430
31248 16 2079 1662
31249 16 1003 1026
31250 16 392 193
31251 16 397 401
31252 16 391 217
31253 16 367 203
31254 16 705 302
31255 16 376 238
