longitude,latitude
-87.674741,41.768319
-87.661374,41.86507
-87.70978,41.903834
-87.71393,41.884908
-87.556576,41.742879
-87.599281,41.763638
-87.745997,41.87779
-87.635697,41.772509
-87.70162,42.004925
-87.771566,41.893944
-87.687927,41.872852
-87.753101,41.898943
-87.774068,41.867777
-87.724886,41.901042
-87.613012,41.778034
-87.588924,41.77339
-87.746294,41.885841
-87.632213,41.827396
-87.706988,41.864738
-87.657916,41.974449
-87.649554,41.781825
-87.599037,41.745203
-87.632249,41.817755
-87.582716,41.770342
-87.792798,41.979389
-87.685597,41.766709
-87.733145,41.875062
-87.61718,41.765559
-87.644056,41.792933
-87.685323,41.884555
-87.675937,41.803845
-87.701245,41.792873
-87.616324,41.706134
-87.645469,41.811716
-87.71468,41.962826
-87.622082,41.785352
-87.64392,41.801498
-87.668621,41.814305
-87.650877,41.687014
-87.664161,41.782929
-87.679533,41.772218
-87.710998,41.844968
-87.733838,41.864552
-87.7554,41.900308
-87.697092,41.785715
-87.704747,41.971287
-87.652849,41.741292
-87.632701,41.687247
-87.559197,41.751934
-87.688613,41.742609
-87.683483,41.749919
-87.651396,41.857037
-87.717489,41.937671
-87.749307,41.931605
-87.552551,41.718817
-87.633938,41.791635
-87.617633,41.790107
-87.672052,41.795
-87.747964,41.890728
-87.639171,41.672198
-87.613097,41.78192
-87.709956,41.911113
-87.65925,41.965486
-87.554253,41.751412
-87.644372,41.769219
-87.611048,41.758369
-87.644123,41.748331
-87.610397,41.722942
-87.610397,41.722942
-87.562521,41.737571
-87.570809,41.716775
-87.765056,41.881731
-87.692648,41.780841
-87.725806,41.880303
-87.564463,41.715174
-87.672053,41.760238
-87.598306,41.762419
-87.656388,41.838954
-87.617524,41.797302
-87.612143,41.779016
-87.636029,41.765143
-87.583955,41.771333
-87.608134,41.735576
-87.551038,41.744554
-87.65213,41.787482
-87.841399,41.976172
-87.590698,41.760366
-87.666469,41.813107
-87.57282,41.722389
-87.628762,41.685881
-87.650185,41.830805
-87.720511,41.874551
-87.574392,41.726661
-87.686236,41.812153
-87.686236,41.812153
-87.601869,41.822034
-87.550505,41.745854
-87.558497,41.737061
-87.596111,41.782776
-87.623767,41.678644
-87.633769,41.676191
-87.633769,41.676191
-87.604606,41.733597
-87.693119,41.774068
-87.627314,41.856191
-87.646767,41.736137
-87.582833,41.729774
-87.623817,41.672428
-87.709167,41.908367
-87.629197,41.701732
-87.617141,41.770359
-87.6579,41.984646
-87.637785,41.786158
-87.747994,41.810928
-87.756884,41.904761
-87.719964,41.805787
-87.747385,41.933234
-87.715036,41.898182
-87.654965,41.671829
-87.619279,41.802738
-87.689966,41.90128
-87.622562,41.792717
-87.69843,41.791677
-87.637112,41.683287
-87.748537,41.917337
-87.786773,41.931257
-87.601576,41.747126
-87.632416,41.767418
-87.623968,41.79561
-87.718484,41.79601
-87.655828,41.961871
-87.5744,41.726963
-87.664745,41.805699
-87.684643,41.76571
-87.659892,41.748301
-87.664823,41.751321
-87.70471,41.998608
-87.70471,41.998608
-87.610138,41.773172
-87.582587,41.730442
-87.608766,41.752713
-87.60996,41.75109
-87.60996,41.75109
-87.604415,41.804525
-87.619175,41.734421
-87.602899,41.751078
-87.641279,41.83834
-87.607587,41.803949
-87.696556,41.87936
-87.696236,41.78625
-87.696236,41.78625
-87.67241,41.80871
-87.724249,41.838541
-87.687018,41.830352
-87.646831,41.75902
-87.691256,41.878068
-87.605815,41.7274
-87.62782,41.684624
-87.742727,41.873599
-87.703964,42.014586
-87.661964,41.78049
-87.568068,41.768747
-87.745956,41.876662
-87.56287,41.758347
-87.628683,41.683095
-87.552919,41.735354
-87.656123,41.789619
-87.62577,41.899074
-87.731503,41.741066
-87.640272,41.752078
-87.668257,41.789207
-87.618738,41.769858
-87.615749,41.779212
-87.649812,41.69187
-87.623632,41.792771
-87.663904,41.868159
-87.657111,41.704274
-87.567488,41.761122
-87.624225,41.794185
-87.704732,41.970886
-87.632793,41.893349
-87.713465,41.920525
-87.605788,41.68955
-87.752154,41.898129
-87.722477,41.892489
-87.722477,41.892489
-87.719567,41.87187
-87.752672,41.900557
-87.733547,41.864658
-87.756385,41.887099
-87.588883,41.762278
-87.611173,41.695825
-87.710901,41.882218
-87.559628,41.713305
-87.559628,41.713305
-87.551926,41.741122
-87.668856,41.682426
-87.611766,41.764933
-87.672464,41.886158
-87.572226,41.720571
-87.648851,41.790328
-87.572226,41.720571
-87.736337,41.876843
-87.670048,41.81116
-87.751807,41.957339
-87.77388,41.8881
-87.66616,41.756966
-87.661794,41.785547
-87.724539,41.848666
-87.56155,41.752597
-87.637628,41.763374
-87.579817,41.752441
-87.656081,41.75035
-87.702188,41.86761
-87.650067,41.857048
-87.69257,41.787962
-87.69121,41.996272
-87.638676,41.908978
-87.655359,41.993904
-87.623848,41.794778
-87.667081,41.893885
-87.606431,41.701711
-87.718591,41.80514
-87.658999,41.806969
-87.747117,41.912247
-87.668866,41.812314
-87.621604,41.770927
-87.662339,41.7523
-87.726277,41.912792
-87.730236,41.87781
-87.600498,41.751768
-87.730236,41.87781
-87.730836,41.875308
-87.605793,41.813071
-87.728587,41.875117
-87.552614,41.734855
-87.704446,41.875781
-87.748627,41.881662
-87.748627,41.881662
-87.730933,41.845412
-87.730933,41.845412
-87.764463,41.912104
-87.595926,41.818508
-87.582878,41.730364
-87.59876,41.730275
-87.610503,41.658903
-87.702997,41.810989
-87.611895,41.780889
-87.71985,41.895315
-87.642877,41.767149
-87.761364,41.899556
-87.756271,41.923449
-87.774025,41.902598
-87.774025,41.902598
-87.633162,41.838326
-87.654076,41.96899
-87.560925,41.700432
-87.674131,41.765601
-87.62457,41.756549
-87.759898,41.905393
-87.756271,41.923449
-87.670985,41.800279
-87.683003,41.750281
-87.617029,41.819673
-87.547145,41.732938
-87.652633,41.760402
-87.764526,41.941448
-87.62873,41.822517
-87.688369,41.778745
-87.659691,41.864169
-87.604708,41.725538
-87.643661,41.802413
-87.643661,41.802413
-87.602771,41.757823
-87.688736,41.781593
-87.627703,41.692637
-87.620102,41.770534
-87.653977,41.800773
-87.653977,41.800773
-87.601415,41.658023
-87.617152,41.770697
-87.683085,41.764269
-87.72765,41.901682
-87.561396,41.762992
-87.659668,41.865991
-87.666106,41.687822
-87.659718,41.97618
-87.582477,41.771631
-87.706868,41.860517
-87.707795,41.860659
-87.733969,41.838309
-87.635321,41.693493
-87.611157,41.80283
-87.663586,41.796551
-87.686681,41.866714
-87.716311,41.860052
-87.593113,41.775706
-87.593113,41.775706
-87.607778,41.734668
-87.759065,41.885249
-87.628339,41.766441
-87.672886,41.681448
-87.680877,41.851536
-87.680877,41.851536
-87.701307,41.749236
-87.619774,41.709122
-87.546934,41.74929
-87.645046,41.682807
-87.691723,41.825474
-87.598092,41.752549
-87.660847,41.749506
-87.549855,41.737507
-87.659187,41.86388
-87.711029,41.741328
-87.757469,41.963877
-87.698189,41.911073
-87.604813,41.778514
-87.612206,41.781637
-87.665593,41.750214
-87.709682,41.841435
