fips	june2011	dec2012
47069	0.6013	0.5908
47071	0.7565	0.7754
47073	0.8609	0.8500
47075	0.6209	0.6457
47077	0.7822	0.7800
47079	0.7047	0.7186
47081	0.5735	0.6574
47083	0.9344	0.9556
47085	0.6000	0.5900
47087	0.9976	0.9998
47089	0.9156	0.9042
47091	0.9704	0.9629
47093	0.9943	0.9938
47095	0.9111	0.9220
47097	0.8642	0.8439
47099	0.8270	0.8353
47101	0.6246	0.6107
47103	0.8389	0.7755
47105	0.9382	0.9485
47107	0.7869	0.7900
47109	0.6137	0.6368
47111	0.9805	0.9860
47113	0.9696	0.9598
47115	0.9045	0.8867
47117	0.9077	0.8874
47119	0.9492	0.9516
47121	0.4972	0.5146
47123	0.8225	0.8638
47125	0.9779	0.9790
47127	0.7478	0.7026
47129	0.2323	0.2207
47131	0.9606	0.9514
47133	0.9975	0.9999
47135	0.7545	0.7406
47137	0.9997	0.9974
47139	0.7320	0.7287
47141	0.9963	0.9973
47143	0.8061	0.7541
47145	0.8684	0.8398
47147	0.9005	0.8568
47149	0.9604	0.9908
47151	0.0033	0.0027
47153	0.9945	1.0000
47155	0.9462	0.9425
47157	0.9864	0.9909
47159	0.8657	0.8801
47161	0.6609	0.6594
47163	0.9970	0.9972
47165	0.9611	0.9867
47167	0.8703	0.8597
47169	0.6795	0.6393
47171	0.9819	0.9138
47173	0.8609	0.8817
47175	0.9539	0.9543
47177	0.9993	0.9995
47179	0.9954	0.9955
47181	0.7138	0.7677
47183	0.9353	0.9282
47185	0.9977	1.0000
47187	0.9533	0.9767
47189	0.9709	0.9919
48001	0.8646	0.9012
48003	0.9679	0.9674
48005	0.9311	0.9295
48007	0.9310	0.9718
48009	0.9461	0.9465
48011	0.9540	0.9611
48013	0.9433	0.9433
48015	0.6201	0.5589
48017	0.9932	0.9929
48019	0.4914	0.4203
48021	0.9483	0.9477
48023	0.9872	0.9913
48025	0.9978	0.9978
48027	0.9807	0.9655
48029	0.9996	0.9995
48031	0.7424	0.7663
48033	0.3909	0.3763
48035	0.7573	0.7636
48037	0.9360	0.9090
48039	0.9085	0.9645
48041	0.9484	0.9477
48043	0.7268	0.7128
48045	0.9492	0.9286
48047	0.9366	0.9826
48049	0.7648	0.7488
48051	0.4913	0.4573
48053	0.7897	0.7935
48055	0.9912	0.9927
48057	0.9874	0.9873
48059	0.8225	0.8593
48061	0.9969	0.9986
48063	0.4896	0.4976
48065	0.7672	0.7645
48067	0.5507	0.4852
48069	0.6935	0.6930
48071	0.8545	0.8496
48073	0.7104	0.7199
48075	0.8689	0.8278
48077	0.9608	0.9522
48079	0.8580	0.8679
48081	0.1316	0.1893
48083	0.5229	0.4912
48085	1.0000	1.0000
48087	0.6751	0.6962
48089	0.5631	0.5669
48091	0.9767	0.9913
48093	0.9368	0.9501
48095	0.6223	0.6281
48097	0.9817	0.9806
48099	0.9535	0.9628
48101	0.9136	0.8971
48103	0.9754	0.9729
48105	0.6466	0.5998
48107	0.9529	0.9457
48109	0.7045	0.6853
48111	0.7788	0.7827
48113	1.0000	1.0000
48115	0.9439	0.9362
48117	0.8836	0.8778
48119	0.9699	0.9986
48121	1.0000	1.0000
48123	0.9265	0.9367
48125	0.8856	0.9275
48127	0.8814	0.8840
48129	0.5407	0.5329
48131	0.8720	0.9018
48133	0.7691	0.7714
48135	0.9963	0.9992
48137	0.8176	0.9082
48139	0.9951	0.9945
48141	0.9925	0.9927
48143	0.8603	0.9287
48145	0.9079	0.9077
48147	0.9858	0.9854
48149	0.6298	0.9162
48151	0.5236	0.5686
48153	0.8148	0.7066
48155	0.9743	0.9919
48157	0.9347	0.9858
48159	0.8364	0.8755
48161	0.7136	0.7083
48163	0.9265	0.9815
48165	0.7409	0.7312
48167	0.9474	0.9556
48169	0.8573	0.8590
48171	0.6897	0.7576
48173	0.1072	0.1252
48175	0.7523	0.6954
48177	0.9855	0.9859
48179	0.9262	0.8974
48181	0.9936	0.9918
48183	0.9510	0.9248
48185	0.7688	0.8470
48187	1.0000	1.0000
48189	0.9416	0.9363
48191	0.8321	0.8265
48193	0.7439	0.8829
48195	0.8103	0.8075
48197	0.8882	0.7806
48199	0.7969	0.7898
48201	0.9257	0.9952
48203	0.6260	0.7711
48205	0.8168	0.8239
48207	0.9271	0.9249
48209	0.9796	0.9831
48211	0.6773	0.6748
48213	0.9321	0.9891
48215	0.9993	0.9998
48217	0.9482	0.9429
48219	0.9096	0.9062
48221	0.9900	0.9898
48223	0.7905	0.8220
48225	0.5539	0.5064
48227	0.9728	0.9723
48229	0.6543	0.6505
48231	0.9940	0.9940
48233	0.9251	0.8874
48235	0.4600	0.4754
48237	0.8319	0.8674
48239	0.9277	0.9265
48241	0.4320	0.3668
48243	0.6339	0.6385
48245	0.9798	0.9755
48247	0.9115	0.9324
48249	0.9577	0.9598
48251	0.9976	0.9991
48253	0.6425	0.5830
48255	0.9930	0.9929
48257	0.9977	0.9983
48259	0.8000	0.8959
48261	0.0129	0.0136
48263	0.7936	0.7821
48265	0.9622	0.9687
48267	0.3708	0.3079
48269	0.6667	0.6614
48271	0.7943	0.5522
48273	0.9138	0.9036
48275	0.9964	0.9989
48277	0.9292	0.9096
48279	0.8919	0.9060
48281	0.6988	0.5823
48283	0.8493	0.9866
48285	0.8396	0.8801
48287	0.8147	0.8192
48289	0.5814	0.5893
48291	0.6368	0.5322
48293	0.9573	0.9593
48295	0.7656	0.7563
48297	0.9817	0.9903
48299	0.8940	0.8995
48301	0.1905	0.2000
48303	0.9662	0.9697
48305	0.8705	0.9240
48307	0.9698	0.9677
48309	0.9935	0.9929
48311	0.7024	0.9734
48313	0.5107	0.5202
48315	0.5961	0.5684
48317	0.6136	0.6097
48319	0.7538	0.7692
48321	0.8802	0.8673
